Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Northeast Arete","Bridge Mountain > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732404/northeast-arete,3.4,-1,Trad,5.5,5,800,36.13171,-115.50169
"Blue Bunny","Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107616415/blue-bunny,1.6,-1,Trad,5.7,1,150,36.14396,-115.49249
"Middle Earth","Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733073/middle-earth,2.5,-1,Trad,5.9,6,600,36.14396,-115.49249
Burlesque,"Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105820832/burlesque,2.7,-1,Trad,5.9,4,400,36.14396,-115.49249
"Tookish Instincts","Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116634342/tookish-instincts,2.0,-1,Trad,5.9,8,700,36.14396,-115.49249
"Linda's Route","Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/110553462/lindas-route,2.7,-1,Trad,5.9+,8,1000,36.14396,-115.49249
"Frigid Air Buttress","Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732470/frigid-air-buttress,3.2,-1,Trad,5.9+,7,800,36.14396,-115.49249
"One More For Jules!","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733094/one-more-for-jules,0.7,-1,Trad,5.6,2,320,36.144,-115.49069
"Hop Route","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732596/hop-route,2.4,-1,Trad,5.7+,3,250,36.144,-115.49069
"Fold Out","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732605/fold-out,2.7,-1,Trad,5.8,1,120,36.144,-115.49069
"Follow the Seance","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/123036647/follow-the-seance,2.0,-1,Trad,5.8,3,300,36.144,-115.49069
"Grave Situation","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/123037206/grave-situation,1.5,-1,Trad,5.8,3,300,36.144,-115.49069
"Sensuous Mortician","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732602/sensuous-mortician,3.1,-1,Trad,5.9,1,120,36.144,-115.49069
Atras,"Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732926/atras,2.9,-1,Trad,5.9,2,200,36.144,-115.49069
"Back in Time","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107903955/back-in-time,3.6,-1,Trad,5.10a,1,120,36.144,-115.49069
"Black Magic Panties","Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732599/black-magic-panties,2.7,-1,Trad,"5.10- R",1,120,36.144,-115.49069
"Shady Ladies","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732749/shady-ladies,2.3,-1,Trad,5.7,1,100,36.145,-115.49403
"Van Allen Belt","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732752/van-allen-belt,2.0,-1,Trad,"5.7 R",1,50,36.145,-115.49403
"Cold September Corner","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732746/cold-september-corner,3.3,-1,Trad,5.8,1,60,36.145,-115.49403
"Fork In The Road","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/125294216/fork-in-the-road,2.0,-1,Trad,5.8,1,90,36.145,-115.49403
"Adapt and Overcome","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116688459/adapt-and-overcome,2.5,-1,Trad,"5.8 PG13",1,100,36.145,-115.49403
"Aesop’s Arete","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/117952618/aesops-arete,2.7,-1,Trad,5.9,1,100,36.145,-115.49403
"Magellanic Cloud","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732755/magellanic-cloud,3.0,-1,Trad,5.9,1,50,36.145,-115.49403
"Mister Masters","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733163/mister-masters,3.3,-1,Trad,5.9+,1,70,36.145,-115.49403
"Starless and Bible Black","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/117952585/starless-and-bible-black,2.8,-1,Trad,5.9+,1,100,36.145,-115.49403
"Blast From the Past","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/113885778/blast-from-the-past,2.0,-1,Trad,5.10-,1,115,36.145,-115.49403
"Tie me Tightly","Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105946280/tie-me-tightly,2.5,-1,Trad,5.10-,1,90,36.145,-115.49403
"Pork Soda","Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107131186/pork-soda,1.5,-1,Trad,5.9,1,90,36.1437,-115.49583
"Amazing Grace","Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105964367/amazing-grace,2.9,-1,Trad,"5.9+ PG13",1,110,36.1437,-115.49583
"Weenie Juice","Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107771341/weenie-juice,3.6,-1,Trad,5.10a,1,160,36.1437,-115.49583
"Greased Lightning","Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105796602/greased-lightning,3.4,-1,Trad,"5.10- R",1,200,36.1437,-115.49583
"Drat Crack","Upper Sunnyside Crag > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733088/drat-crack,2.3,-1,Trad,5.9-,1,140,36.14466,-115.49744
"Good-Time Charlie","Upper Sunnyside Crag > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733097/good-time-charlie,2.5,-1,Trad,5.9,1,140,36.14466,-115.49744
"Hot Time","Upper Sunnyside Crag > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107413648/hot-time,2.5,-1,Trad,5.9+,2,250,36.14466,-115.49744
"Lebanese NoNo","Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/109703639/lebanese-nono,2.0,-1,Trad,5.7,1,80,36.14407,-115.49278
"Lebanese JoJo","Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105822631/lebanese-jojo,2.9,-1,Trad,5.9+,2,200,36.14407,-115.49278
Grumblefish,"Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116164988/grumblefish,1.5,-1,Trad,5.10a,1,100,36.14407,-115.49278
"Romeo Charlie","Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116794855/romeo-charlie,3.0,-1,Trad,"5.10a R",1,130,36.14407,-115.49278
Armadiller,"Creature Feature Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107876459/armadiller,-1.0,-1,Trad,5.6,1,100,36.14364,-115.50118
"Creature Feature","Creature Feature Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107861889/creature-feature,2.0,-1,Trad,5.8,3,350,36.14364,-115.50118
"Spit upon my plates","Creature Feature Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107876371/spit-upon-my-plates,-1.0,-1,Trad,5.8,4,350,36.14364,-115.50118
"Dogleg Crack","NE Buttress of Bridge Mountain > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732929/dogleg-crack,2.3,-1,Trad,5.8,2,200,36.144,-115.48739
"Hodor Said Hodor","NE Buttress of Bridge Mountain > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/108092365/hodor-said-hodor,1.3,-1,Trad,"5.9 PG13",5,500,36.144,-115.48739
How-ard,"Cauldron Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/121584634/how-ard,2.5,-1,Trad,5.9,1,130,36.1423,-115.49143
Waterboys,"Cauldron Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/112081249/waterboys,3.5,-1,Trad,5.10a,3,400,36.1423,-115.49143
"Tarkus Crack","Tiki Cliff > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/113478032/tarkus-crack,3.1,-1,Trad,5.8-,1,45,36.14312,-115.49095
"Lumpy arete","Tiki Cliff > Icebox Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/119176288/lumpy-arete,2.8,-1,Trad,5.8,1,180,36.14312,-115.49095
"First Grader","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732626/first-grader,1.0,-1,Trad,5.6,1,100,36.03248,-115.4618
"The Fright of the Phoenix","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732476/the-fright-of-the-phoenix,1.9,-1,Trad,5.7,2,220,36.03248,-115.4618
"Diagon Alley","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732581/diagon-alley,1.6,-1,Trad,5.7,1,90,36.03248,-115.4618
"Back to Basics","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732623/back-to-basics,2.2,-1,Trad,5.7,1,100,36.03248,-115.4618
"The Chamber of Secrets","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732923/the-chamber-of-secrets,2.7,-1,Trad,5.7,2,200,36.03248,-115.4618
"Falling Rein","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106285668/falling-rein,1.8,-1,Trad,5.7,2,200,36.03248,-115.4618
"Basilisk Fang","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106408841/basilisk-fang,1.9,-1,Trad,5.7,1,140,36.03248,-115.4618
"Get Rad","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107889970/get-rad,3.6,-1,Trad,5.8,1,150,36.03248,-115.4618
"Cadillac Crack","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732449/cadillac-crack,3.7,-1,Trad,5.9,1,130,36.03248,-115.4618
"Azkaban Jam","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732464/azkaban-jam,2.1,-1,Trad,5.9,1,140,36.03248,-115.4618
"Rita Skeeter","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732572/rita-skeeter,3.0,-1,Trad,"5.9 R",1,120,36.03248,-115.4618
"Dark Arts","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732575/dark-arts,2.6,-1,Trad,5.9,1,120,36.03248,-115.4618
"Moaning Myrtle","The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732578/moaning-myrtle,1.0,-1,Trad,5.9,1,120,36.03248,-115.4618
Microbrew,"Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732593/microbrew,2.1,-1,Trad,5.5,1,150,36.03413,-115.46152
Pickleback,"Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/202818502/pickleback,2.0,-1,Trad,5.6,1,90,36.03413,-115.46152
"The Speakeasy","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/202817787/the-speakeasy,2.0,-1,Trad,5.7,3,500,36.03413,-115.46152
"Lazy Buttress","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732833/lazy-buttress,2.4,-1,Trad,"5.7 R",3,400,36.03413,-115.46152
"Ballantine Blast","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732974/ballantine-blast,2.1,-1,Trad,5.7,3,400,36.03413,-115.46152
"Schaeffer's Delight","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732497/schaeffers-delight,2.6,-1,Trad,5.8-,3,400,36.03413,-115.46152
"Crown Royal","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732905/crown-royal,2.5,-1,Trad,5.8,5,500,36.03413,-115.46152
"Gentle Ben's Afternoon Delight","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732977/gentle-bens-afternoon-delight,1.7,-1,Trad,5.8,4,500,36.03413,-115.46152
"Shaken, Not Stirred","Whiskey Peak - East > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732971/shaken-not-stirred,1.0,-1,Trad,5.9,3,300,36.03413,-115.46152
Frogland,"North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732398/frogland,3.6,-1,Trad,5.8,6,700,36.03509,-115.46345
"Bourbon Street","North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732899/bourbon-street,2.7,-1,Trad,5.8,7,710,36.03509,-115.46345
"Canadian Club","North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105733064/canadian-club,1.8,-1,Trad,5.8,5,,36.03509,-115.46345
"Bourbon Hangover","North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/106897616/bourbon-hangover,2.6,-1,Trad,5.8+,6,,36.03509,-115.46345
"The Misunderstanding","North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/105732881/the-misunderstanding,3.1,-1,Trad,5.9,2,160,36.03509,-115.46345
"Rain Dance","North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/107273805/rain-dance,2.9,-1,Trad,5.10a,1,130,36.03509,-115.46345
"Closed on Monday","North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/119696653/closed-on-monday,2.9,-1,Trad,5.10a,1,50,36.03509,-115.46345
Sandblast,"North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/110336648/sandblast,2.1,-1,Trad,"5.10- R",2,320,36.03509,-115.46345
"Two in the Busch","The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/116571085/two-in-the-busch,2.3,-1,Trad,5.9,3,250,36.03897,-115.46096
"Headlamp Mechanics","The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120039381/headlamp-mechanics,3.5,-1,Trad,5.9,1,110,36.03897,-115.46096
"Bone Saw","The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada",https://www.mountainproject.com/route/120047352/bone-saw,2.5,-1,Trad,5.10a,1,55,36.03897,-115.46096
