Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Flower Quarter","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105760506/flower-quarter,0.0,-1,"Trad, TR",5.6,1,100,39.9309,-105.28548
Dogpatch,"Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/111890149/dogpatch,1.0,-1,Trad,5.7,1,70,39.9309,-105.28548
"Vertical Smile","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105754822/vertical-smile,1.7,-1,Trad,5.7,1,,39.9309,-105.28548
"Flakey Floont","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105754852/flakey-floont,1.3,-1,"Trad, TR",5.7,1,,39.9309,-105.28548
"Lemon Line","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/106701597/lemon-line,0.0,-1,Trad,"5.7 PG13",1,70,39.9309,-105.28548
"The Greaser","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/107941987/the-greaser,-1.0,-1,Trad,"5.7+ R",1,90,39.9309,-105.28548
Candy-O,"Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/106701579/candy-o,0.0,-1,Trad,"5.7+ R",1,60,39.9309,-105.28548
"Lime Line","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/111867668/lime-line,1.0,-1,Trad,5.8-,1,80,39.9309,-105.28548
"Kor Direct to Super Slab","Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/111309585/kor-direct-to-super-slab,1.7,-1,Trad,"5.8- PG13",2,70,39.9309,-105.28548
Pickpocket,"Redgarden - Below Lower Ramp > Redgarden Wall > Eldorado Canyon State Park > Boulder > Colorado",https://www.mountainproject.com/route/105763527/pickpocket,1.9,-1,"Trad, TR","5.8 R",1,80,39.9309,-105.28548
